real,imag,np,sw,time
0.0352975763,0.548125201,4096.0,10000.0,1208.294993894994
-0.411012377,0.141688206,4096.0,10000.0,1209.2952380952381
-0.00104979431,-0.187208419,4096.0,10000.0,1210.2954822954823
0.172279362,0.275821788,4096.0,10000.0,1211.2957264957267
-0.369428964,0.337630801,4096.0,10000.0,1212.295970695971
-0.365820401,-0.228833218,4096.0,10000.0,1213.296214896215
0.157036639,-0.134902811,4096.0,10000.0,1214.296459096459
-0.0753864018,0.348241476,4096.0,10000.0,1215.2967032967033
-0.565417081,0.00339855418,4096.0,10000.0,1216.2969474969477
-0.199521436,-0.474591086,4096.0,10000.0,1217.297191697192
0.162743062,-0.127548891,4096.0,10000.0,1218.2974358974361
-0.231940277,0.045515709,4096.0,10000.0,1219.29768009768
-0.262810487,-0.471495411,4096.0,10000.0,1220.2979242979243
0.341865546,-0.458450648,4096.0,10000.0,1221.2981684981685
0.301513911,0.122836951,4096.0,10000.0,1222.298412698413
-0.203571655,-0.0143238722,4096.0,10000.0,1223.298656898657
0.0604109118,-0.484287156,4096.0,10000.0,1224.2989010989013
0.515964922,-0.162128687,4096.0,10000.0,1225.2991452991455
0.198215372,0.197389525,4096.0,10000.0,1226.2993894993895
0.0272251475,-0.169061654,4096.0,10000.0,1227.2996336996337
0.544013758,-0.187473309,4096.0,10000.0,1228.299877899878
0.545133247,0.466006201,4096.0,10000.0,1229.3001221001223
-0.0948947986,0.50957031,4096.0,10000.0,1230.3003663003665
-0.0890955396,0.00510859998,4096.0,10000.0,1231.3006105006107
0.306828514,0.171105432,4096.0,10000.0,1232.3008547008549
-0.0022314342,0.544177413,4096.0,10000.0,1233.301098901099
-0.339809482,0.185748197,4096.0,10000.0,1234.3013431013433
0.0583761327,-0.0243054667,4096.0,10000.0,1235.3015873015875
0.133822992,0.498954336,4096.0,10000.0,1236.3018315018317
-0.525548736,0.562503007,4096.0,10000.0,1237.3020757020759
-0.660588106,-0.0797320725,4096.0,10000.0,1238.30231990232
-0.202312864,-0.185231908,4096.0,10000.0,1239.3025641025642
-0.306649398,0.103979446,4096.0,10000.0,1240.3028083028084
-0.584141874,-0.247041695,4096.0,10000.0,1241.3030525030526
-0.1228259,-0.591863123,4096.0,10000.0,1242.3032967032968
0.203124375,-0.134658636,4096.0,10000.0,1243.303540903541
-0.282327933,0.0796839114,4096.0,10000.0,1244.3037851037852
-0.432223361,-0.487829046,4096.0,10000.0,1245.3040293040294
0.127056981,-0.65956904,4096.0,10000.0,1246.3042735042736
0.252099411,-0.268019331,4096.0,10000.0,1247.3045177045178
0.0297541524,-0.381810956,4096.0,10000.0,1248.304761904762
0.450435196,-0.627242094,4096.0,10000.0,1249.3050061050062
0.866213082,-0.0717581342,4096.0,10000.0,1250.3052503052504
0.393823961,0.426046704,4096.0,10000.0,1251.3054945054946
0.0156008456,0.0618568261,4096.0,10000.0,1252.3057387057388
0.394721008,-0.131903878,4096.0,10000.0,1253.305982905983
0.49246716,0.298653526,4096.0,10000.0,1254.3062271062272
0.117196215,0.327083551,4096.0,10000.0,1255.3064713064716
0.282349004,0.0527973359,4096.0,10000.0,1256.3067155067156
0.60210992,0.488221176,4096.0,10000.0,1257.3069597069598
0.0566247551,1.0100467,4096.0,10000.0,1258.307203907204
-0.578795943,0.615357727,4096.0,10000.0,1259.3074481074482
-0.391656992,0.146198752,4096.0,10000.0,1260.3076923076926
-0.247340698,0.323577002,4096.0,10000.0,1261.3079365079366
-0.593863134,0.250752428,4096.0,10000.0,1262.3081807081808
-0.472118664,-0.218789506,4096.0,10000.0,1263.308424908425
-0.0141237561,-0.0455655286,4096.0,10000.0,1264.3086691086692
-0.328122438,0.413710735,4096.0,10000.0,1265.3089133089136
-0.900343527,0.0248883374,4096.0,10000.0,1266.3091575091576
-0.646237565,-0.607522368,4096.0,10000.0,1267.309401709402
